year,licencersn,licencenumber,licencerevisionnumber,businessname,businesstradename,status,issueddate,expireddate,businesstype,businesssubtype,unit,unittype,house,street,city,province,country,postalcode,localarea,numberofemployees,feepaid,extractdate,geom,geo_point_2d,formatted_tradename
23,4175896,23-148035,00,JJ Bean Inc,JJ Bean House of Coffee,Issued,2022-12-13T21:41:55+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,3010,MAIN ST,Vancouver,BC,CA,V5T 3G5,Mount Pleasant,0,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.10078357781, 49.2582219401212], ""type"": ""Point""}","49.2582219401212, -123.10078357781",jj_bean
23,4175899,23-148038,00,JJ Bean Inc,JJ Bean Coffee Roaster,Issued,2022-12-13T21:43:57+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,146,W CORDOVA ST,Vancouver,BC,CA,V6B 1E4,Downtown,0,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.107958012096, 49.2825013355364], ""type"": ""Point""}","49.2825013355364, -123.107958012096",jj_bean
23,4176278,23-148417,00,Caterina Restaurant Corp,McDonalds,Issued,2022-12-20T22:50:13+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,7295,KNIGHT ST,Vancouver,BC,CA,V5P 2W9,Sunset,46,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.077499164264, 49.2182642823178], ""type"": ""Point""}","49.2182642823178, -123.077499164264",mcdonalds
23,4176299,23-148438,00,Bates Restaurants Ltd,McDonalds Restaurants,Issued,2022-11-30T23:22:04+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,120,Unit,1055,W GEORGIA ST,Vancouver,BC,CA,V6E 3P3,Downtown,0,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.121463646921, 49.2852447964792], ""type"": ""Point""}","49.2852447964792, -123.121463646921",mcdonalds
23,4176300,23-148439,00,Bates Restaurants Ltd,McDonalds Restaurants,Issued,2022-11-30T23:23:54+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,1001,Unit,86,W PENDER ST,Vancouver,BC,CA,V6B 6N8,Downtown,50,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.106751856679, 49.280289660285], ""type"": ""Point""}","49.280289660285, -123.106751856679",mcdonalds
23,4176517,23-148656,00,Westside Grind Coffee Corporation,Blenz Coffee,Issued,2022-12-31T23:31:39+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,3698,W 4TH AV,Vancouver,BC,CA,V6R 1P1,Kitsilano,6,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.185365475693, 49.2683459863617], ""type"": ""Point""}","49.2683459863617, -123.185365475693",blenz
23,4176564,23-148703,00,Starbucks Coffee Canada Inc,Starbucks Coffee #22863,Issued,2023-01-13T18:54:24+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,1777,QUEBEC ST,Vancouver,BC,CA,V5T 0E7,Mount Pleasant,15,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.103314362225, 49.2695134910749], ""type"": ""Point""}","49.2695134910749, -123.103314362225",starbucks
23,4176589,23-148728,00,JJ Bean Inc,JJ Bean Coffee Roaster,Issued,2022-12-13T21:48:24+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,425,DUNSMUIR ST,Vancouver,BC,CA,V6B 1X4,Downtown,0,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.11351586912, 49.2820731999911], ""type"": ""Point""}","49.2820731999911, -123.11351586912",jj_bean
23,4176767,23-148906,00,Targaryen Investments Ltd,Tim Hortons #8092,Issued,2022-11-22T20:07:06+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,206,KEEFER ST,Vancouver,BC,CA,V6A 2V3,NA,15,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.099266799343, 49.2792948905005], ""type"": ""Point""}","49.2792948905005, -123.099266799343",tim_hortons
23,4176843,23-148982,00,Starbucks Coffee Canada Inc,Starbucks #24247,Issued,2023-01-13T18:51:02+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,8540,RIVER DIST. CROSSING,Vancouver,BC,CA,V7X 1L3,Killarney,20,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.029971795947, 49.2062441706766], ""type"": ""Point""}","49.2062441706766, -123.029971795947",starbucks
23,4176920,23-149059,00,1188175 BC Limited,Tim Hortons,Issued,2023-02-14T21:48:53+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,756,DAVIE ST,Vancouver,BC,CA,V6Z 1B6,Downtown,20,980,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.127330639068, 49.2773815152244], ""type"": ""Point""}","49.2773815152244, -123.127330639068",tim_hortons
23,4177022,23-149161,00,Starbucks Coffee Canada Inc,Starbucks Coffee,Issued,2023-01-13T18:26:59+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,3095,W BROADWAY,Vancouver,BC,CA,V6K 2G9,Kitsilano,30,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.173405305653, 49.264419086963], ""type"": ""Point""}","49.264419086963, -123.173405305653",starbucks
23,4177303,23-149442,00,Starbucks Coffee Canada Inc,Starbucks Coffee #60595,Issued,2022-12-09T20:34:12+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,502,W BROADWAY,Vancouver,BC,CA,V5Z 1E9,NA,20,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.115449021453, 49.2629187028982], ""type"": ""Point""}","49.2629187028982, -123.115449021453",starbucks
23,4236563,23-194265,00,1373257 BC LTD,Blenz Coffee,Issued,2023-02-27T18:45:48+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,700,DAVIE ST,Vancouver,BC,CA,V6Z 1B6,Downtown,0,883,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.126674266316, 49.2772280861628], ""type"": ""Point""}","49.2772280861628, -123.126674266316",blenz
23,4240283,23-197898,00,EKJ Ventures Ltd,Tim Hortons,Issued,2023-03-07T23:38:00+00:00,2023-12-31,Ltd Service Food Establishment,NA,100,Unit,2698,RUPERT ST,Vancouver,BC,CA,V5M 4X2,Renfrew-Collingwood,8,627,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.032940976538, 49.260889529539], ""type"": ""Point""}","49.260889529539, -123.032940976538",tim_hortons
